treatment=treated means that once started rituximab treatment continued for the duration of the experiment. treatment=stop means rituximab was started and stopped. assay=HAI means influenza HAI assay. assay=VSVNT means VSV neutralization assay. dayTreat is day post infection that rituximab or phosphate buffered saline injection was started. stopTreatDay is day post infection of last rituximab injection. dayPI is day post infection.
"infection","treatment","mouse","assay","dayTreat","stopTreatDay","dayPI","titer"
"influenza","treated","I1T01","ELISA",62,NA,62,23822
"influenza","treated","I1T01","ELISA",62,NA,76,7931
"influenza","treated","I1T01","ELISA",62,NA,97,6904
"influenza","treated","I1T01","ELISA",62,NA,133,5066
"influenza","treated","I1T01","ELISA",62,NA,162,4598
"influenza","treated","I1T01","ELISA",62,NA,189,3893
"influenza","treated","I1T01","ELISA",62,NA,231,2475
"influenza","treated","I1T01","ELISA",62,NA,259,3683
"influenza","treated","I1T01","ELISA",62,NA,309,2616
"influenza","treated","I1T01","ELISA",62,NA,371,1029
"influenza","treated","I1T01","ELISA",62,NA,408,636
"influenza","treated","I1T01","HAI",62,NA,62,140
"influenza","treated","I1T01","HAI",62,NA,76,130
"influenza","treated","I1T01","HAI",62,NA,97,150
"influenza","treated","I1T01","HAI",62,NA,162,160
"influenza","treated","I1T01","HAI",62,NA,189,160
"influenza","treated","I1T01","HAI",62,NA,231,100
"influenza","treated","I1T01","HAI",62,NA,259,80
"influenza","treated","I1T01","HAI",62,NA,309,100
"influenza","treated","I1T02","ELISA",62,NA,62,19210
"influenza","treated","I1T02","ELISA",62,NA,76,6079
"influenza","treated","I1T02","ELISA",62,NA,106,4194
"influenza","treated","I1T02","ELISA",62,NA,133,4166
"influenza","treated","I1T02","ELISA",62,NA,175,3104
"influenza","treated","I1T02","ELISA",62,NA,203,3008
"influenza","treated","I1T02","ELISA",62,NA,219,3050
"influenza","treated","I1T02","ELISA",62,NA,245,2194
"influenza","treated","I1T02","ELISA",62,NA,294,2875
"influenza","treated","I1T02","ELISA",62,NA,329,1716
"influenza","treated","I1T02","ELISA",62,NA,350,1332
"influenza","treated","I1T02","HAI",62,NA,62,160
"influenza","treated","I1T02","HAI",62,NA,76,120
"influenza","treated","I1T02","HAI",62,NA,90,80
"influenza","treated","I1T02","HAI",62,NA,106,50
"influenza","treated","I1T02","HAI",62,NA,118,50
